sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Hohenbuehelia					RO:0008506	ecologically co-occurs with			Eukaryota;Chromista;Ciliophora;Oligohymenophorea;Philasterida;Philasteridae;Miamiensis						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Hohenbuehelia					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Tomentella						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Hohenbuehelia					RO:0008506	ecologically co-occurs with			Eukaryota;Plantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Hohenbuehelia					RO:0008506	ecologically co-occurs with			Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;Neocystis						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Hohenbuehelia					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Russulales;Stereaceae;Aleurodiscus						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Hohenbuehelia					RO:0008506	ecologically co-occurs with			Eukaryota;Animalia;Arthropoda;Arachnida;Oribatida;Tectocepheidae;Tectocepheus						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Hohenbuehelia					RO:0008506	ecologically co-occurs with			Eukaryota;Chromista;Miozoa;Dinophyceae;Peridiniales;Oxytoxaceae;Thecadinium						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Hohenbuehelia					RO:0008506	ecologically co-occurs with			Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hygrophoraceae;Hygrophorus						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Hohenbuehelia					RO:0008506	ecologically co-occurs with			Eukaryota;Plantae;Streptophyta;NA;Dipsacales;Adoxaceae;Sambucus						Klamath Mountains					https://www.ucedna.com	
		Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Pleurotaceae;Hohenbuehelia					RO:0008506	ecologically co-occurs with			Eukaryota;Animalia;Cnidaria;Anthozoa;Scleractinia;Poritidae;Porites						Klamath Mountains					https://www.ucedna.com	
